"s10"	"s11"	"s1"	"s12"	"s13"	"s14"	"s15"	"s16"	"s17"	"s18"	"s19"	"s20"	"s21"	"s2"	"s22"	"s23"	"s24"	"s25"	"s26"	"s27"	"s28"	"s29"	"s30"	"s3"	"s32"	"s34"	"s35"	"s36"	"s37"	"s38"	"s39"	"s40"	"s41"	"s4"	"s5"	"s6"	"s7"	"s9"	"ss11"	"ss1"	"ss12"	"ss13"	"ss14"	"ss15"	"ss16"	"ss18"	"ss19"	"ss21"	"ss2"	"ss23"	"ss24"	"ss25"	"ss26"	"ss27"	"ss28"	"ss29"	"ss30"	"ss3"	"ss4"	"ss5"	"ss7"	"ss8"	"ss9"
"CparapsilosisCDC317"	0.00200013778726979	1.4439773350393	0.000288190686719981	0	0	95.0675470069139	0	0.000152727017256626	0.00830185546469636	0.00109993031941427	0.00284193175574544	0.0011474108975048	0.303124942589973	0.000141955724009681	2.24571317225253	0	5.18205330570953e-05	1.26751167444963	0.00119420096013757	7.46921376815112e-05	0	0.0893655049151028	0.00169494362960636	0.000813643168651956	5.56183280773058	89.5838931518029	0.000537290202315212	0	24.2177558811054	86.8561575258649	0	0.0219466695928893	0.00489781924598073	0.000625435850608393	0.0805857432307976	1.24877571008815	0	0	0.288622208719429	0.661795119260995	0.000154223685519398	0.00493967422848463	0.000274517375577287	0.968764146672702	0	0.000164700146912531	1.24667150810942	0	0.0335457900033546	0.0206377050871943	0.745884773662551	0.101061141990905	0	0.00259780745051177	0.159292740233364	0.0286574007737498	93.6204514048825	0	0.434782608695652	2.20547937000422	2.98507462686567	0.108166576527853	0.807663410969196
"CqueenslandicumCBS280.77"	0	0	1.37233660342848e-05	0	0	0	0.000871034614915597	0	0	0	0	0	0	0	0	0	0	0	0	7.46921376815112e-05	0	0	0	0	0	0	0	0.735209649626651	0.00652549838493915	0	0	0	0	0.0104760504976906	0	0.0034979711767175	0	0	0	0	0	0	0	0	0.0412745583622255	0	0	0	0	0.0515942627179858	0.462962962962963	0.0252652854977261	0	0	0	0.0143287003868749	0	0	0.434782608695652	0	0.471327572663001	0.540832882639264	0
"CtropicalisMYA3404"	0.00400027557453958	0	99.9665836037065	0.238473767885533	0.00317446363773998	0	0.0461648345905266	0.00167999718982288	0.759619775019717	0.00483969340542277	0.000868368036477773	0.00492178884982324	0.0973674058016277	0.000354889310024203	0.002435697583788	99.7919548657639	0.000829128528913526	0	0	0.00112038206522267	17.4433955183941	0	0.00131020182411289	99.9507745882966	0	0	0.00200776865075684	0	0	0	2.01028088856251	0	0.254686600790998	0.000781794813260491	0.0621661447780438	0	0	0	0.243050281026887	0	0.00131090132691489	0.00987934845696926	0.00155559846160463	0.0362154821186057	0.0165098233448902	99.9128736222833	0.0121036068748487	0	2.39852398523985	52.7190176452379	0	0	0	0.0155868447030706	0.0119469555175023	0.0143287003868749	0.0230308613542146	0.00516502246784773	0	0.0018717786689108	0	1.56841535965387	0
"EoligospermaCBS72588"	0	0	0	0	0.0297911202926367	0	0.000871034614915597	0.000152727017256626	1.20791997011332	5.49965159707133e-05	0	0	0.475814303823049	0	0.002435697583788	0	0.000932769595027716	0	0.00477680384055029	0	0	0.446827524575514	0.00328590298745773	0	0.00674570382987335	0	0	0.0114876507754164	0.00163137459623479	0	0	0.0329200043893339	0.0979563849196145	0.00140723066386888	0	0.731075975933958	0	0	0.0303812851283609	0.0413621949538122	0	0.00123491855712116	0	2.8881846989588	0	0.00153720137118362	1.77923021060276	0.519912654674015	0.0167728950016773	0.0103188525435972	0	0	0.666666666666667	0.140281602327635	0.143363466210027	0	0.0460617227084293	0	0	0	0.549882168106834	0	0
"FfujikuroiIMI58289"	0	0	0	0	0	0	0	0	0	0	0	3.01950236185475e-05	0	0	0	0	0	0.0508275358175291	0	0	0	0	0	0	0	0	0	0	0.0179451205585827	0	0	0	0	0	0	0	0	0.141043723554302	0	0.0275747966358748	2.57039475865664e-05	0	0	0.0271616115889543	0	0	0	0	1.35860449513586	0	0	0	0	0	0	0	0	0	0.108695652173913	0	0	0	0
"FgraminearumPH-1"	0	0	0	0	0	0	0	0	0	0	0	0	0.0734848345672662	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00244890962299036	0	0	0	0	0	0	0	0	0	0	0	0	0.000658800587650124	0	0	0.0167728950016773	0.598493447528635	0.00857338820301783	0.0252652854977261	0.333333333333333	0	0	0	0	0	0	0	0	0	0.0187828700225394
"Foxysporum26406"	0	0	0	0	0	0	0	0	0	0	0	0	0.0624621093821763	0	0	0	0	0	0	0	0	0	0.000551116640301455	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.141043723554302	0	0	0	0	0	0	0	0	0.532558702493343	0.0103982530934803	0	0	0.300068587105624	0	0	0	0	0	0	0	0	0	0	0	0
"Foxysporum4287"	0	0	0	0	0	0	0	0	0	0	0	0	0.117575735307626	0	0	0	0	0	0	0	0	0	0.000415937087019966	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.141043723554302	0	0	0	0	0	0	0	0	0.568869523117889	0.0311947592804409	0	0	0.342935528120713	0	0	0	0	0	0	0	0	0	0	0	0
"Foxysporum54006"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00142458452304338	0	0	0	0	0	0	0	0	0	0	0	0.00230244980659422	0	0	0	0	0	0	0	0	0	0	0	0	0.0415930123739212	0	0	0.128600823045267	0	0	0	0	0	0	0	0	0	0	0	0
"FoxysporumFo47"	0	0	0	0	0	0	0	0	0	2.74982579853566e-05	0	0	0	0	0	0	0	0	0.00119420096013757	0	0	0	0.000280757533738477	0	0	0	0	0	0.0587294854644523	0	0	0	0	0	0	0	0	0.141043723554302	0	0	0	0	0	0	0	0	0.0121036068748487	0.0103982530934803	0	0	0.360082304526749	0	1.33333333333333	0	0	0.0143287003868749	0	0	0	0	0	0	0.0187828700225394
